rater_id,pair_id,brief_id,industry,comparison_type,preferred_output,premium_quality_A,premium_quality_B,business_alignment_A,business_alignment_B,distinctness_A,distinctness_B,confidence_collaboration_A,confidence_collaboration_B,time_to_acceptable_A_min,time_to_acceptable_B_min,evaluation_type
rater_02,brief-103::pair_ai_cdo_vs_baseline,brief-103,healthcare,AI-CDO_vs_Baseline,A,9,6,9,5,8,7,8,7,9,22,blind_comparison
rater_02,brief-114::pair_ai_cdo_vs_baseline,brief-114,edtech,AI-CDO_vs_Baseline,A,10,7,10,6,10,6,9,7,10,27,blind_comparison
rater_02,brief-072::pair_ai_cdo_vs_sft,brief-072,manufacturing,AI-CDO_vs_SFT,A,9,6,10,6,9,6,10,6,9,20,blind_comparison
rater_02,brief-033::pair_ai_cdo_vs_sft,brief-033,media,AI-CDO_vs_SFT,A,10,7,9,6,10,7,10,5,12,22,blind_comparison
rater_02,brief-104::pair_ai_cdo_vs_sft,brief-104,proptech,AI-CDO_vs_SFT,A,9,5,9,7,9,6,8,7,12,23,blind_comparison
rater_02,brief-132::pair_ai_cdo_vs_sft,brief-132,manufacturing,AI-CDO_vs_SFT,A,10,5,9,6,9,7,10,5,10,26,blind_comparison
rater_02,brief-142::pair_ai_cdo_vs_baseline,brief-142,media,AI-CDO_vs_Baseline,A,9,5,9,7,9,6,9,7,10,19,blind_comparison
rater_02,brief-146::pair_ai_cdo_vs_baseline,brief-146,proptech,AI-CDO_vs_Baseline,A,9,6,10,5,8,5,9,6,13,21,blind_comparison
rater_02,brief-146::pair_sft_vs_baseline,brief-146,manufacturing,SFT_vs_Baseline,Tie,8,5,7,6,8,5,7,6,12,21,blind_comparison
rater_02,brief-039::pair_ai_cdo_vs_baseline,brief-039,consumer,AI-CDO_vs_Baseline,A,8,5,9,6,9,7,9,7,12,26,blind_comparison
rater_02,brief-017::pair_ai_cdo_vs_baseline,brief-017,saas,AI-CDO_vs_Baseline,Tie,8,8,7,8,8,6,9,5,12,19,blind_comparison
rater_02,brief-101::pair_sft_vs_baseline,brief-101,ecommerce,SFT_vs_Baseline,A,7,7,7,5,8,6,6,5,13,22,blind_comparison
rater_02,brief-125::pair_sft_vs_baseline,brief-125,manufacturing,SFT_vs_Baseline,A,7,5,7,5,8,7,6,6,14,19,blind_comparison
rater_02,brief-064::pair_ai_cdo_vs_baseline,brief-064,edtech,AI-CDO_vs_Baseline,A,8,7,9,5,9,6,8,7,12,27,blind_comparison
rater_02,brief-115::pair_ai_cdo_vs_baseline,brief-115,government,AI-CDO_vs_Baseline,Tie,8,8,8,8,8,7,8,5,11,26,blind_comparison
rater_02,brief-055::pair_ai_cdo_vs_baseline,brief-055,fintech,AI-CDO_vs_Baseline,A,10,7,10,6,8,6,9,6,11,18,blind_comparison
rater_02,brief-006::pair_ai_cdo_vs_baseline,brief-006,fintech,AI-CDO_vs_Baseline,A,8,5,10,7,9,5,9,5,11,27,blind_comparison
rater_02,brief-048::pair_sft_vs_baseline,brief-048,government,SFT_vs_Baseline,A,7,5,7,6,8,5,6,6,15,17,blind_comparison
rater_02,brief-090::pair_sft_vs_baseline,brief-090,edtech,SFT_vs_Baseline,A,7,7,7,7,7,7,8,6,16,18,blind_comparison
