rater_id,brief_id,confidence_rationale_on,confidence_rationale_off,collaboration_rationale_on,collaboration_rationale_off,combined_rationale_on,combined_rationale_off,delta_combined,rationale_condition
rater_02,brief-106,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-108,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-074,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-020,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-037,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-113,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-137,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-062,8,7,8,6,8,6.5,1.5,visible_vs_hidden
rater_02,brief-110,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-072,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-026,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-098,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-076,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-068,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-148,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-053,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-138,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-034,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-100,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-015,8,7,8,6,8,6.5,1.5,visible_vs_hidden
rater_02,brief-111,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-086,8,6,8,7,8,6.5,1.5,visible_vs_hidden
rater_02,brief-134,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-119,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-044,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-033,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-117,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-047,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-131,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-045,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-007,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-078,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-141,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-133,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-012,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-017,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-116,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-070,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-109,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-150,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-089,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-009,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-001,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-063,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-069,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-029,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-091,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-101,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-084,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-115,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-127,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-092,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-123,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-125,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-022,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-003,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-083,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-128,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-051,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-085,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-097,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-130,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-112,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-122,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-140,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-145,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-046,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-006,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-061,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-057,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-118,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-135,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-056,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-081,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-099,8,7,7,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-018,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-094,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-132,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-065,8,6,8,7,8,6.5,1.5,visible_vs_hidden
rater_02,brief-042,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-039,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-013,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-139,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-008,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-058,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-096,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-088,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-011,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-014,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-059,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-054,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-126,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-052,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-095,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-036,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-120,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-082,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-040,7,6,8,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-071,7,7,8,6,7.5,6.5,1,visible_vs_hidden
rater_02,brief-107,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-021,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-087,8,6,7,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-043,7,6,8,6,7.5,6,1.5,visible_vs_hidden
rater_02,brief-055,8,6,8,6,8,6,2,visible_vs_hidden
rater_02,brief-149,8,6,7,7,7.5,6.5,1,visible_vs_hidden
rater_02,brief-005,8,6,7,7,7.5,6.5,1,visible_vs_hidden
